user_id,monthly_distance,monthly_steps,monthly_logged_activities,monthly_very_active_distance,monthly_moderately_active_distance,monthly_light_active_distance,monthly_sedentary_active_distance,monthly_calories
1503960366,242.1,375619,0,88.61,24.62,128.74,0,56309
1624580081,121.36,178061,0,29.12,11.18,80.81,0.19,45984
1644430081,158.86,218489,0,21.9,28.53,108.27,0.12,84339
1844505072,52.89,79982,0,0.26,1.52,51.07,0,48778
1927972279,19.67,28400,0,2.97,0.97,15.72,0,67357
2022484408,250.61,352490,0,75.07,22.32,153.22,0,77809
2026352035,107.1,172573,0,0.19,0.35,106.52,0,47760
2320127002,98.82,146223,0,3.31,3.03,92.39,0,53449
2347167796,114.4,171354,0,19.07,19.35,75.99,0,36782
2873212765,158.15,234229,0,20.96,8.56,128.45,0.16,59426
3372868164,94.14,137233,0,12.59,3.06,78.2,0.22,38662
3977333714,225.51,329537,0,48.45,82.53,94.03,0,45410
4020332650,50.41,70284,0,4.41,4.02,40.56,0.17,73960
4057192912,11.45,15352,0,0.21,0.26,10.75,0,7895
4319703577,151.66,225334,0,8.62,15.57,116.83,0,63168
4388161847,260.19,335232,0,53.3,27.96,167.28,0,95910
4445114986,100.62,148693,0,16.22,2.34,81.99,0,67772
4558609924,157.5,238239,0,17.03,21.15,119.28,0,63031
4702921684,215.61,265734,0,12.94,40.45,161.99,0,91932
5553957443,174.83,266990,0,45.39,20.74,108.64,0,58146
5577150313,186.4,249133,0,93.41,19.74,72.84,0,100789
6117666160,149.58,197308,0,3.59,2.35,135.61,0,63312
6290855005,123.9,163837,0,2.48,3.72,117.41,0.25,75389
6775888955,47.15,65512,1.96,18.44,9.99,18.5,0,55426
6962181067,204.16,303639,10.04,50.11,29.76,124.05,0.21,61443
7007744171,208.4,294409,55.08,62.79,19.2,126.4,0.02,66144
7086361926,198.03,290525,0,86.22,23.97,87.38,0,79557
8053475328,355.73,457662,0,263.96,13.14,78.55,0,91320
8253242879,88.68,123161,0,42.07,13.22,33.34,0.01,33972
8378563200,214.32,270249,34.56,77.61,16.09,120.57,0,106534
8583815059,174.08,223154,0,24.74,31.64,81.14,0,84693
8792009665,34.41,53758,0,0.72,1.69,32,0,56907
8877689391,409.6,497241,0,205.76,10.47,191.85,0.16,106028
